t,outcome,"Static(0.5)_belief","Static(0.5)_brier","Static(0.5)_log","Bayes(1,1)_belief","Bayes(1,1)_brier","Bayes(1,1)_log","MLE_belief","MLE_brier","MLE_log"
101,1,0.5,0.75,-0.693147,0.504854,0.754831,-0.683485,0.50495,0.754926,-0.683295
102,0,0.5,0.75,-0.693147,0.509615,0.740292,-0.712565,0.509804,0.7401,-0.71295
103,0,0.5,0.75,-0.693147,0.504762,0.745215,-0.702717,0.504854,0.745122,-0.702903
104,1,0.5,0.75,-0.693147,0.5,0.75,-0.693147,0.5,0.75,-0.693147
105,0,0.5,0.75,-0.693147,0.504673,0.745305,-0.702537,0.504762,0.745215,-0.702717
106,0,0.5,0.75,-0.693147,0.5,0.75,-0.693147,0.5,0.75,-0.693147
107,1,0.5,0.75,-0.693147,0.495413,0.745392,-0.702364,0.495327,0.745305,-0.702537
108,0,0.5,0.75,-0.693147,0.5,0.75,-0.693147,0.5,0.75,-0.693147
109,0,0.5,0.75,-0.693147,0.495495,0.754484,-0.684179,0.495413,0.754566,-0.684015
110,0,0.5,0.75,-0.693147,0.491071,0.758849,-0.675448,0.490909,0.759008,-0.675129
111,0,0.5,0.75,-0.693147,0.486726,0.763098,-0.666945,0.486486,0.763331,-0.666479
112,0,0.5,0.75,-0.693147,0.482456,0.767236,-0.658661,0.482143,0.767538,-0.658056
113,1,0.5,0.75,-0.693147,0.478261,0.727788,-0.737599,0.477876,0.727387,-0.738404
114,1,0.5,0.75,-0.693147,0.482759,0.732461,-0.728239,0.482456,0.732148,-0.728865
115,1,0.5,0.75,-0.693147,0.487179,0.737015,-0.719123,0.486957,0.736786,-0.71958
116,1,0.5,0.75,-0.693147,0.491525,0.741454,-0.710242,0.491379,0.741305,-0.710539
117,1,0.5,0.75,-0.693147,0.495798,0.745781,-0.701586,0.495726,0.745708,-0.701731
118,0,0.5,0.75,-0.693147,0.5,0.75,-0.693147,0.5,0.75,-0.693147
119,1,0.5,0.75,-0.693147,0.495868,0.745851,-0.701446,0.495798,0.745781,-0.701586
120,1,0.5,0.75,-0.693147,0.5,0.75,-0.693147,0.5,0.75,-0.693147
121,1,0.5,0.75,-0.693147,0.504065,0.754049,-0.68505,0.504132,0.754115,-0.684917
122,0,0.5,0.75,-0.693147,0.508065,0.74187,-0.709408,0.508197,0.741736,-0.709676
123,1,0.5,0.75,-0.693147,0.504,0.753984,-0.685179,0.504065,0.754049,-0.68505
124,0,0.5,0.75,-0.693147,0.507937,0.742001,-0.709148,0.508065,0.74187,-0.709408
125,1,0.5,0.75,-0.693147,0.503937,0.753922,-0.685304,0.504,0.753984,-0.685179
126,1,0.5,0.75,-0.693147,0.507812,0.757751,-0.677643,0.507937,0.757874,-0.677399
127,1,0.5,0.75,-0.693147,0.511628,0.761493,-0.670158,0.511811,0.761672,-0.6698
128,1,0.5,0.75,-0.693147,0.515385,0.765148,-0.662842,0.515625,0.765381,-0.662376
129,0,0.5,0.75,-0.693147,0.519084,0.730552,-0.732063,0.51938,0.730245,-0.732678
130,1,0.5,0.75,-0.693147,0.515152,0.764922,-0.663294,0.515385,0.765148,-0.662842
131,0,0.5,0.75,-0.693147,0.518797,0.73085,-0.731466,0.519084,0.730552,-0.732063
132,1,0.5,0.75,-0.693147,0.514925,0.764703,-0.663733,0.515152,0.764922,-0.663294
133,1,0.5,0.75,-0.693147,0.518519,0.768176,-0.65678,0.518797,0.768444,-0.656243
134,1,0.5,0.75,-0.693147,0.522059,0.771572,-0.649975,0.522388,0.771887,-0.649345
135,1,0.5,0.75,-0.693147,0.525547,0.774895,-0.643315,0.525926,0.775254,-0.642595
136,0,0.5,0.75,-0.693147,0.528986,0.720174,-0.752866,0.529412,0.719723,-0.753772
137,1,0.5,0.75,-0.693147,0.52518,0.774546,-0.644014,0.525547,0.774895,-0.643315
138,1,0.5,0.75,-0.693147,0.528571,0.777755,-0.637577,0.528986,0.778145,-0.636794
139,1,0.5,0.75,-0.693147,0.531915,0.780896,-0.631272,0.532374,0.781326,-0.630409
140,1,0.5,0.75,-0.693147,0.535211,0.783971,-0.625094,0.535714,0.784439,-0.624154
141,0,0.5,0.75,-0.693147,0.538462,0.710059,-0.77319,0.539007,0.709471,-0.774373
142,0,0.5,0.75,-0.693147,0.534722,0.714072,-0.765121,0.535211,0.713549,-0.766172
143,1,0.5,0.75,-0.693147,0.531034,0.780071,-0.632928,0.531469,0.780478,-0.632111
